                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.4189,                0.92652,                 1.5193,                0.88246,                0.78191,                0.88788,                 0.5215,                 1.4256,                0.79594,                 1.5008,               0.000713,               0.000713,               0.000713
                     68,                  1.405,                0.90895,                 1.5087,                0.87938,                  0.795,                0.88422,                0.51974,                 1.4313,                0.78862,                 1.5022,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4075,                 0.9208,                  1.509,                0.86677,                0.80287,                0.88788,                0.52019,                 1.4302,                0.79174,                 1.5048,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.3962,                  0.901,                 1.4966,                0.88155,                0.79177,                 0.8837,                0.52417,                 1.4141,                0.78064,                 1.4901,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4034,                 0.9115,                 1.5058,                0.85472,                0.81117,                0.88353,                 0.5199,                 1.4315,                0.79201,                  1.501,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.4044,                0.90781,                 1.5003,                0.86574,                  0.806,                0.89012,                0.52684,                 1.4194,                0.77648,                 1.4921,               0.000614,               0.000614,               0.000614
                     73,                 1.3794,                0.88327,                 1.4838,                0.87848,                0.79468,                0.89188,                0.52612,                 1.4166,                0.76887,                 1.4905,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.3809,                 0.8823,                 1.4832,                0.87176,                0.79787,                 0.8925,                0.52744,                 1.4131,                 0.7622,                 1.4824,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.3774,                0.88251,                 1.4829,                0.86635,                0.81026,                0.89475,                0.53298,                 1.4038,                0.75639,                 1.4833,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.359,                0.87456,                 1.4769,                0.85838,                0.80926,                0.89063,                0.52834,                 1.4049,                0.77198,                 1.4866,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.3746,                0.87699,                 1.4798,                0.88009,                 0.8081,                0.89559,                0.53188,                 1.4143,                0.75979,                 1.4903,               0.000515,               0.000515,               0.000515
                     78,                 1.3665,                0.88167,                 1.4749,                0.86646,                0.81798,                0.89508,                0.53222,                 1.3905,                 0.7525,                 1.4701,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.3547,                0.86784,                 1.4679,                0.86913,                0.81247,                0.89551,                0.53421,                 1.4011,                0.74759,                 1.4677,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.3563,                0.85483,                 1.4742,                0.86229,                0.81809,                 0.8965,                0.53398,                 1.3933,                0.74602,                 1.4689,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.3445,                0.85387,                 1.4608,                0.87814,                0.82234,                0.89883,                0.53593,                 1.3936,                0.74339,                  1.467,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.3603,                0.86144,                 1.4719,                0.87397,                0.82074,                0.89782,                0.53788,                  1.388,                0.73812,                 1.4691,               0.000416,               0.000416,               0.000416
                     83,                 1.3408,                0.85168,                 1.4636,                0.88442,                0.81649,                0.90114,                  0.539,                 1.3902,                0.73511,                  1.474,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.3307,                0.84165,                  1.459,                0.88179,                0.82128,                0.90192,                0.54137,                 1.3847,                0.74404,                 1.4675,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.3284,                0.83471,                 1.4463,                0.87986,                0.82074,                0.90244,                0.54157,                 1.3833,                0.73103,                 1.4635,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.3449,                0.84351,                 1.4646,                0.89441,                0.81277,                0.90188,                0.53975,                 1.3878,                0.74182,                 1.4651,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.3328,                0.83757,                  1.459,                0.89609,                0.80798,                0.90194,                0.54465,                 1.3758,                 0.7311,                 1.4577,               0.000317,               0.000317,               0.000317
                     88,                  1.332,                0.82862,                  1.451,                0.89534,                0.81449,                0.90236,                0.54107,                 1.3805,                0.73329,                 1.4662,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.3139,                0.82479,                  1.441,                0.88329,                0.81223,                0.90066,                0.54132,                 1.3711,                0.73219,                 1.4598,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.3049,                0.81556,                 1.4333,                 0.8785,                 0.8346,                0.90561,                0.55001,                 1.3655,                0.72293,                 1.4528,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.2787,                0.73275,                 1.4185,                0.88791,                0.82713,                0.90461,                0.54707,                 1.3635,                0.72663,                 1.4518,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.2683,                0.71971,                 1.4168,                0.87883,                0.82553,                0.90441,                0.54804,                 1.3725,                0.71965,                 1.4526,               0.000218,               0.000218,               0.000218
                     93,                 1.2553,                0.71456,                  1.402,                0.88648,                0.82659,                0.90675,                0.55165,                 1.3623,                0.71106,                 1.4442,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.2651,                0.70556,                 1.4155,                0.89174,                0.82368,                0.90908,                0.55111,                 1.3643,                0.70904,                 1.4447,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.2506,                0.69324,                  1.398,                0.88587,                0.83085,                0.90908,                0.55401,                 1.3654,                0.70659,                 1.4456,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.2422,                0.69751,                  1.393,                0.88459,                0.83577,                0.90795,                0.55467,                 1.3579,                0.69905,                 1.4416,              0.0001388,              0.0001388,              0.0001388
                     97,                  1.234,                0.69638,                 1.3982,                0.88411,                0.83511,                0.90927,                0.55388,                 1.3586,                0.69877,                 1.4444,               0.000119,               0.000119,               0.000119
                     98,                  1.228,                0.68919,                 1.3824,                 0.8837,                0.83663,                0.90987,                0.55326,                  1.354,                0.69421,                 1.4446,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.2305,                0.69759,                 1.4039,                0.88519,                0.83457,                0.91008,                0.55657,                 1.3486,                0.69373,                 1.4425,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.2239,                0.67918,                 1.3862,                0.88801,                0.83511,                0.90956,                0.55709,                 1.3533,                0.69335,                 1.4452,               5.96e-05,               5.96e-05,               5.96e-05
